Identifiant article;Code-barres article;Code article;Libellé;Famille;Fournisseur principal;Collection;Prix de revient HT article;Prix Détail (TTC);Prix unique;Catégorie;Grille masque des dimensions;Grille dimension 1;Code tarif;
20776                            X;;20776;JOAQUIM;DEBARDEUR;MIRALETTE;24E;14;40;-;PFL;0GE;;R0;
20777                            X;;20777;JOKIN;DEBARDEUR;MIRALETTE;24E;14;40;-;PFL;0GE;;R0;
20778                            X;;20778;JOLAN;ROBE;MIRALETTE;24E;35;110;-;PFL;0GE;;R0;
20779                            X;;20779;JOLANE;ROBE;MIRALETTE;24E;32;100;-;PFL;0GE;;R0;
20780                            X;;20780;JOLANN;ROBE;MIRALETTE;24E;32;100;-;PFL;0GE;;R0;
20781                            X;;20781;JOLENE;ROBE;MIRALETTE;24E;32;100;-;PFL;0GE;;R0;
20782                            X;;20782;JOLHAN;ROBE;MIRALETTE;24E;32;100;-;PFL;0GE;;R0;
20783                            X;;20783;JOLINE;ROBE;MIRALETTE;24E;32;100;-;PFL;0GE;;R0;
20784                            X;;20784;JOMANA;ROBE;MIRALETTE;24E;32;100;-;PFL;0GE;;R0;
20785                            X;;20785;JON;ROBE;MIRALETTE;24E;32;100;-;PFL;0GE;;R0;
20787                            X;;20787;JOSELITA;ROBE;STE TEX-MODE;24E;55;160;-;PFL;0GG;;R0;
20788                            X;;20788;JOB;BLOUSE;STE TEX-MODE;24E;31;90;-;PFL;0GE;;R0;
20789                            X;;20789;JOCASSE;ROBE;STE TEX-MODE;24E;52;150;-;PFL;0GE;;R0;
20790                            X;;20790;JOCELIN;CHEMISE;STE TEX-MODE;24E;33;100;-;PFL;0GE;;R0;
20791                            X;;20791;JOCELINE;BLOUSE;STE TEX-MODE;24E;34;100;-;PFL;0GE;;R0;
20792                            X;;20792;JOCELYNE;ROBE;STE TEX-MODE;24E;56;160;-;PFL;0GE;;R0;
20793                            X;;20793;JOCIA;ROBE;STE TEX-MODE;24E;0;0;-;PFL;0GE;;R0;
20794                            X;;20794;JOCYA;ROBE;STE TEX-MODE;24E;56;160;-;PFL;0GE;;R0;
20795                            X;;20795;JODEL;ROBE;STE TEX-MODE;24E;51;160;-;PFL;0GE;;R0;
20796                            X;;20796;JOCIA;ROBE;STE TEX-MODE;24E;45;130;-;PFL;0GI;;R0;
20797                            X;;20797;JENAH;BLOUSE;ROSELLA;24E;50;160;-;PFL;0GI;;R0;
20798                            X;;20798;JENIFER;PANTALON;ROSELLA;24E;40;120;-;PFL;0GH;;R0;
20799                            X;;20799;JENNA;ROBE;ROSELLA;24E;43;130;-;PFL;0GH;;R0;
20800                            X;;20800;JENNAH;PANTALON;ROSELLA;24E;36;100;-;PFL;0GH;;R0;
20801                            X;;20801;JENNIE;ROBE;ROSELLA;24E;58;170;-;PFL;0GH;;R0;
20802                            X;;20802;JENNY;PANTALON;ROSELLA;24E;37;110;-;PFL;0GH;;R0;
20803                            X;;20803;JEOFFREY;ROBE;ROSELLA;24E;58;160;-;PFL;0GH;;R0;
20804                            X;;20804;JEREMI;ROBE;ROSELLA;24E;54;160;-;PFL;0GH;;R0;
20805                            X;;20805;JEREMIAH;ROBE;ROSELLA;24E;36;140;-;PFL;0GH;;R0;
20806                            X;;20806;JEREMY;ROBE;ROSELLA;24E;34;100;-;PFL;0GH;;R0;
20807                            X;;20807;JERRY;CHEMISE;ROSELLA;24E;35;100;-;PFL;0GH;;R0;
20808                            X;;20808;JEROME;PANTALON;ROSELLA;24E;36;100;-;PFL;0GH;;R0;
20809                            X;;20809;JERONIMO;BLOUSE;ROSELLA;24E;36;100;-;PFL;0GH;;R0;
20810                            X;;20810;JEROMINE;PANTALON;ROSELLA;24E;36;100;-;PFL;0GH;;R0;
20811                            X;;20811;JERSEY;PANTALON;ROSELLA;24E;36;100;-;PFL;0GH;;R0;
20812                            X;;20812;JERZY;PANTALON;ROSELLA;24E;36;100;-;PFL;0GH;;R0;
20813                            X;;20813;JEASON;CHEMISE;STE TEX-MODE;24E;31;90;-;PFL;0GH;;R0;
20814                            X;;20814;JED;TEE SHIRT;STE TEX-MODE;24E;14;40;-;PFL;0GH;;R0;
20815                            X;;20815;JANIE;CHEMISE;MAILLE CLUB;24E;32;90;-;PFM;0GH;;R0;
20816                            X;;20816;JAYMI;ROBE;ARTEMIS;24E;40;120;-;PFL;0GI;;R0;
20817                            X;;20817;JAYNA;ROBE;ARTEMIS;24E;42;120;-;PFL;0GI;;R0;
20818                            X;;20818;JAYRON;ROBE;ARTEMIS;24E;45;130;-;PFL;0GH;;R0;
20819                            X;;20819;JAYSON;TUNIQUE;ARTEMIS;24E;28;80;-;PFL;0GH;;R0;
20820                            X;;20820;JAZIA;PANTALON;ARTEMIS;24E;32;90;-;PFL;0GH;;R0;
20821                            X;;20821;JAZZ;ROBE;ARTEMIS;24E;45;130;-;PFL;0GH;;R0;
20822                            X;;20822;JEAN;ROBE;ARTEMIS;24E;52;150;-;PFL;0GH;;R0;
20823                            X;;20823;JEACQUES;PANTALON;ARTEMIS;24E;38;110;-;PFL;0GH;;R0;
20824                            X;;20824;JEANE;BLOUSE;ARTEMIS;24E;32;90;-;PFL;0GH;;R0;
20825                            X;;20825;JEANELLE;BLOUSE;ARTEMIS;24E;31;90;-;PFL;0GH;;R0;
20826                            X;;20826;JEANETTE;CHEMISE;ARTEMIS;24E;41;120;-;PFL;0GH;;R0;
20827                            X;;20827;JANICK;ROBE;DELFINO;24E;28;90;-;PFL;0GH;;R0;
20829                            X;;20829;JANINA;PANTALON JOGGING;DELFINO;24E;28;80;-;PFL;0GH;;R0;
20830                            X;;20830;JAYAN;CARDIGAN;DELFINO;24E;42;120;-;PFL;0GH;;R0;
20831                            X;;20831;JO;Tenue de Sport;NBL;24E;24;60;-;PFL;0GI;;R0;
20832                            X;;20832;JOACHIN;Tenue de Sport;NBL;24E;15;35;-;PFL;0GI;;R0;
20833                            X;;20833;JOANNE;Tenue de Sport;NBL;24E;21;50;-;PFL;0GI;;R0;
20834                            X;;20834;JOANNIE;Tenue de Sport;NBL;24E;21;50;-;PFL;0GI;;R0;
20835                            X;;20835;JOANNY;Tenue de Sport;NBL;24E;22;60;-;PFL;0GI;;R0;
20836                            X;;20836;JOAO;Tenue de Sport;NBL;24E;12;35;-;PFL;0GI;;R0;
20837                            X;;20837;JAIME;GILET;MAILLE CLUB;24E;30;90;-;PFM;0GH;;R0;
20838                            X;;20838;JAHYANN;BLOUSE;AICHA FASHION;24E;34;100;-;PFL;0GH;;R0;
20839                            X;;20839;JAHYDEN;ROBE;AICHA FASHION;24E;38;110;-;PFL;0GH;;R0;
20840                            X;;20840;JAHYNA;ROBE;AICHA FASHION;24E;38;110;-;PFL;0GH;;R0;
20841                            X;;20841;JANINE;ROBE;AICHA FASHION;24E;28;80;-;PFL;0GH;;R0;
20842                            X;;20842;JANIQUE;ROBE;AICHA FASHION;24E;28;80;-;PFL;0GH;;R0;
20843                            X;;20843;JANIS;ROBE;AICHA FASHION;24E;23;70;-;PFL;0GH;;R0;
20844                            X;;20844;JANNA;ROBE;AICHA FASHION;24E;38;110;-;PFL;0GH;;R0;
20845                            X;;20845;JAIMIE;BLOUSE;AICHA FASHION;24E;32;90;-;PFL;0GH;;R0;
20846                            X;;20846;JAIMY;ROBE;AICHA FASHION;24E;32;90;-;PFL;0GH;;R0;
20847                            X;;20847;JAINA;PYJAMA;AICHA FASHION;24E;28;80;-;PFL;0GH;;R0;
20848                            X;;20848;JAIRO;PYJA SHORT;AICHA FASHION;24E;25;70;-;PFL;0GH;;R0;
20849                            X;;20849;JAISON;CHEMISE DE NUIT;AICHA FASHION;24E;20;70;-;PFL;0GH;;R0;
20850                            X;;20850;JAKE;CHEMISE DE NUIT;AICHA FASHION;24E;25;70;-;PFL;0GH;;R0;
20851                            X;;20851;JAIDEN;PULL;STE GAT FASHION;24E;29;90;-;PFL;0GH;;R0;
20852                            X;;20852;JAKI;ROBE;MAILLE CLUB;24E;61;160;-;PFM;0GE;;R0;
20853                            X;;20853;JANNAH;ROBE;MAILLE CLUB;24E;37;110;-;PFL;0GH;;R0;
20854                            X;;20854;JANNAT;ROBE;MAILLE CLUB;24E;42;120;-;PFL;0GH;;R0;
20855                            X;;20855;JANNE;ROBE;MAILLE CLUB;24E;35;100;-;PFL;0GH;;R0;
20856                            X;;20856;JANNICK;ROBE;MAILLE CLUB;24E;35;100;-;PFL;0GH;;R0;
20857                            X;;20857;JANNIE;LOUNGE WEAR;MAILLE CLUB;24E;42;130;-;PFL;0GH;;R0;
20858                            X;;20858;JANNINE;LOUNGE WEAR;MAILLE CLUB;24E;49;140;-;PFL;0GH;;R0;
20859                            X;;20859;JANNY;PANTALON;MAILLE CLUB;24E;28;80;-;PFL;0GH;;R0;
20860                            X;;20860;JANOS;PANTALON;MAILLE CLUB;24E;28;80;-;PFL;0GH;;R0;
20861                            X;;20861;JANY;TEE SHIRT;MAILLE CLUB;24E;25;70;-;PFL;0GH;;R0;
20862                            X;;20862;JANYCE;TEE SHIRT;MAILLE CLUB;24E;21;60;-;PFL;0GH;;R0;
20863                            X;;20863;JAOID;TEE SHIRT;MAILLE CLUB;24E;21;60;-;PFL;0GH;;R0;
20864                            X;;20864;JAOUAD;TEE SHIRT;MAILLE CLUB;24E;21;60;-;PFL;0GH;;R0;
20865                            X;;20865;JAOUED;DEBARDEUR;MAILLE CLUB;24E;17;50;-;PFL;0GH;;R0;
20866                            X;;20866;JAOUEN;ROBE;MAILLE CLUB;24E;37;110;-;PFL;0GH;;R0;
20867                            X;;20867;JAPHET;ROBE;MAILLE CLUB;24E;35;100;-;PFL;0GH;;R0;
20868                            X;;20868;JARED;ROBE;MAILLE CLUB;24E;35;100;-;PFL;0GH;;R0;
20870                            X;;20870;JAROD;ROBE;MAILLE CLUB;24E;35;100;-;PFL;0GH;;R0;
20871                            X;;20871;JASIM;ROBE;MAILLE CLUB;24E;31;90;-;PFL;0GH;;R0;
20872                            X;;20872;JIMY;ROBE;TIN TRADE;24E;44;150;-;PFL;0GI;;R0;
20873                            X;;20873;JAYDEN;ROBE;TIN TRADE;24E;38;130;-;PFL;0GI;;R0;
20874                            X;;20874;JAYLAN;ROBE;TIN TRADE;24E;36;120;-;PFL;0GI;;R0;
20875                            X;;20875;JAYLEN;ROBE;MAILLE CLUB;24E;35;130;-;PFL;0GI;;R0;
20876                            X;;20876;JIN;ROBE;AICHA FASHION;24E;35;100;-;PFL;0GH;;R0;
20877                            X;;20877;JOSSELINE;CHAUSSURES;SOFECUIR;24E;29;90;-;PFL;0GL;;R0;
20878                            X;;20878;JOSSE;CHAUSSURES;SOFECUIR;24E;33;100;-;PFL;0GL;;R0;
20879                            X;;20879;JOSIE;CHAUSSURES;SOFECUIR;24E;33;100;-;PFL;0GL;;R0;
20880                            X;;20880;JOSHUA;CHAUSSURES;SOFECUIR;24E;29;90;-;PFL;0GL;;R0;
20881                            X;;20881;JULIENNE;ROBE;ROSELLA;24E;55;160;-;PFL;0GH;;R0;
20882                            X;;20882;JUDICAEL;ROBE;ROSELLA;24E;54;150;-;PFL;0GH;;R0;
20883                            X;;20883;JOSEFINA;ROBE;ROSELLA;24E;54;150;-;PFL;0GH;;R0;
20884                            X;;20884;JOSELITO;ROBE;ROSELLA;24E;48;150;-;PFL;0GH;;R0;
20885                            X;;20885;JOSELYNE;ROBE;ROSELLA;24E;53;150;-;PFL;0GH;;R0;
20886                            X;;20886;JOSEPHA;ROBE;ROSELLA;24E;54;150;-;PFL;0GH;;R0;
20887                            X;;20887;JOSEPHE;ROBE;ROSELLA;24E;40;120;-;PFL;0GH;;R0;
20888                            X;;20888;JOSEPHINA;ROBE;ROSELLA;24E;54;150;-;PFL;0GH;;R0;
20889                            X;;20889;JOSEPHINE;ROBE;ROSELLA;24E;51;160;-;PFL;0GH;;R0;
20890                            X;;20890;JOSEPHTE;PANTALON;ROSELLA;24E;35;100;-;PFL;0GH;;R0;
20891                            X;;20891;JOSETE;PANTALON;ROSELLA;24E;53;160;-;PFL;0GH;;R0;
20892                            X;;20892;JOSIANE;VESTE;ROSELLA;24E;81;230;-;PFL;0GH;;R0;
20893                            X;;20893;JOSIAS;PANTALON;ROSELLA;24E;38;110;-;PFL;0GH;;R0;
20894                            X;;20894;JOSINE;JUPE;ROSELLA;24E;36;100;-;PFL;0GH;;R0;
20895                            X;;20895;JOSQUIN;CHEMISE;ROSELLA;24E;32;90;-;PFL;0GH;;R0;
20896                            X;;20896;JOSS;CHEMISE;ROSELLA;24E;34;100;-;PFL;0GH;;R0;
20897                            X;;20897;JORAN;VESTE;ROSELLA;24E;51;140;-;PFL;0GH;;R0;
20900                            X;;20900;JORAN;TUNIQUE;MAILLE CLUB;24E;25;70;-;PFM;0GH;;R0;
20902                            X;;20902;JOAQUINA;ROBE;ARTEMIS;24E;42;130;-;PFL;0GH;;R0;
20903                            X;;20903;JOCKEYS;ROBE;ARTEMIS;24E;48;140;-;PFL;0GH;;R0;
20904                            X;;20904;JOCRISSE;ROBE;ARTEMIS;24E;45;130;-;PFL;0GH;;R0;
20905                            X;;20905;JODHPUR;CHEMISE;ARTEMIS;24E;35;100;-;PFL;0GH;;R0;
20906                            X;;20906;JODIE;TUNIQUE;ARTEMIS;24E;21;60;-;PFL;0GH;;R0;
20907                            X;;20907;JOE;BLOUSE;ARTEMIS;24E;28;80;-;PFL;0GH;;R0;
20908                            X;;20908;JOEFFREY;BLOUSE;ARTEMIS;24E;28;80;-;PFL;0GH;;R0;
20909                            X;;20909;JORDANA;ROBE;ARTEMIS;24E;0;0;-;PFL;0GH;;R0;
20910                            X;;20910;JOEVIN;ROBE;ARTEMIS;24E;0;0;-;PFL;0GH;;R0;
20911                            X;;20911;JORDANA;ROBE;ARTEMIS;24E;45;130;-;PFL;0GI;;R0;
20912                            X;;20912;JOEVIN;ROBE;ARTEMIS;24E;46;140;-;PFL;0GI;;R0;
20915                            X;;20915;JOSELITO;ROBE;ROSELLA;24E;48;150;-;PFL;0GJ;;R0;
20916                            X;;20916;JOSETTE;PANTALON;MY LOOK;24E;23;80;-;PFL;0GE;;R0;
20917                            X;;20917;JONAEL;ROBE;SOTTEX;24E;39;120;-;PFL;0GE;;R0;
20918                            X;;20918;JONAH;SHORT;SOTTEX;24E;19;60;-;PFL;0GE;;R0;
20919                            X;;20919;JONATHANE;ROBE;AICHA FASHION;24E;35;110;-;PFL;0GE;;R0;
20920                            X;;20920;JOACKIM;TEE SHIRT;AICHA FASHION;24E;17;50;-;PFL;0GE;;R0;
20921                            X;;20921;JOEL;ROBE;AICHA FASHION;24E;28;80;-;PFL;0GE;;R0;
20922                            X;;20922;JOELE;ROBE;AICHA FASHION;24E;28;80;-;PFL;0GE;;R0;
20923                            X;;20923;JOELLA;ROBE;AICHA FASHION;24E;35;100;-;PFL;0GE;;R0;
20924                            X;;20924;JOEY;ROBE;AICHA FASHION;24E;33;100;-;PFL;0GE;;R0;
20925                            X;;20925;JOFFRAY;ROBE;AICHA FASHION;24E;35;100;-;PFL;0GE;;R0;
20926                            X;;20926;JONATHANN;ROBE;AICHA FASHION;24E;35;100;-;PFL;0GE;;R0;
20927                            X;;20927;JONNHY;ROBE;AICHA FASHION;24E;42;119;-;PFL;0GE;;R0;
20928                            X;;20928;JONNHY;ROBE;AICHA FASHION;24E;42;120;-;PFL;0GI;;R0;
20929                            X;;20929;JORANE;ROBE;ROSELLA;24E;63;170;-;PFL;0GE;;R0;
20930                            X;;20930;JIMMY;PANTALON;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
20931                            X;;20931;JILLIAN;JUPE;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
20932                            X;;20932;JILANI;CHEMISE;ROSELLA;24E;35;100;-;PFL;0GE;;R0;
20933                            X;;20933;JIL;JUPE;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
20934                            X;;20934;JIHANE;PANTALON;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
20935                            X;;20935;JANAYA;TEE SHIRT;STE TEX-MODE;24E;12;40;-;PFL;0GE;;R0;
20936                            X;;20936;JEANINE;CHEMISE;STE TEX-MODE;24E;35;100;-;PFL;0GE;;R0;
20937                            X;;20937;JULIA;TEE SHIRT;STE TEX-MODE;24E;12;50;-;PFL;0GE;;R0;
20938                            X;;20938;JASON;PYJA SHORT;STE TEX-MODE;24E;19;70;-;PFL;0GE;;R0;
20939                            X;;20939;JALEL;ROBE;COMETEX;24E;34;100;-;PFL;0GI;;R0;
20940                            X;;20940;JAMILA;ROBE;ARTEMIS;24E;63;170;-;PFL;0GO;;R0;
20941                            X;;20941;JAWED;KIMONO;TIN TRADE;24E;49;140;-;PFL;0GJ;;R0;
20942                            X;;20942;JALIA;LOUNGE WEAR;DELFINO;24E;42;130;-;PFL;0GO;;R0;
20943                            X;6191114475991;20943;JALIS;CHEMISE;STE PRIMAVET;24E;28;90;-;PFL;0GO;;R0;
20944                            X;;20944;JINAN;ROBE;ARTEMIS;24E;35;110;-;PFL;0GH;;R0;
20945                            X;;20945;JINGLE;ROBE;ARTEMIS;24E;35;110;-;PFL;0GH;;R0;
20946                            X;;20946;JOFFRETTE;ROBE;ARTEMIS;24E;43;130;-;PFL;0GH;;R0;
20947                            X;;20947;JOFFREY;ROBE;ARTEMIS;24E;45;130;-;PFL;0GH;;R0;
20948                            X;;20948;JOHAINA;ROBE;ARTEMIS;24E;45;130;-;PFL;0GH;;R0;
20949                            X;;20949;JORDANE;ROBE;ARTEMIS;24E;47;140;-;PFL;0GH;;R0;
20950                            X;;20950;JORDANN;ROBE;ARTEMIS;24E;47;140;-;PFL;0GH;;R0;
20951                            X;;20951;JOSSELYN;CHEMISE;ARTEMIS;24E;31;90;-;PFL;0GH;;R0;
20952                            X;;20952;JOSSUA;CHEMISE;ARTEMIS;24E;30;90;-;PFL;0GH;;R0;
20953                            X;;20953;JABADAO;BLOUSE;ARTEMIS;24E;31;90;-;PFL;0GH;;R0;
20954                            X;;20954;JABIRU;PANTALON;ARTEMIS;24E;27;80;-;PFL;0GH;;R0;
20955                            X;;20955;JAMEL;PONCHO;COMETEX;24E;29;90;-;PFL;0GI;;R0;
20956                            X;;20956;JEANNA;PONCHO;MAILLE CLUB;24E;13;40;-;PFL;0GJ;;R0;
20957                            X;;20957;JAHID;Tenue de Sport;S.B.C;24E;26;70;-;PFL;0GE;;R0;
20958                            X;;20958;JAURIS;Tenue de Sport;S.B.C;24E;20;50;-;PFL;0GE;;R0;
20959                            X;;20959;JACQUI;PANTALON;STE TEX-MODE;24E;28;80;-;PFL;0GE;;R0;
20960                            X;;20960;JACQUIE;BLOUSE;MAILLE CLUB;24E;0;100;-;PFM;0GE;;R0;
20961                            X;;20961;JACQUIS;CHEMISE;MAILLE CLUB;24E;0;110;-;PFM;0GE;;R0;
20962                            X;;20962;JACQUIT;ROBE;STE TEX-MODE;24E;56;160;-;PFL;0GE;;R0;
20963                            X;;20963;JACQUY;TEE SHIRT;STE TEX-MODE;24E;13;40;-;PFL;0GE;;R0;
20964                            X;;20964;JANIK;ROBE;TIN TRADE;24E;36;120;-;PFL;0GE;;R0;
20965                            X;;20965;JAD;TEE SHIRT;STE TEX-MODE;24E;14;40;-;PFL;0GE;;R0;
20966                            X;;20966;JANNATE;ROBE;COFIVET;24E;55;150;-;PFL;0GE;;R0;
20967                            X;;20967;JAILYS;ROBE;COFIVET;24E;55;150;-;PFL;0GE;;R0;
20968                            X;;20968;JAN;PANTALON;COFIVET;24E;33;100;-;PFL;0GE;;R0;
20969                            X;;20969;JASMINA;CHEMISE;COFIVET;24E;34;100;-;PFL;0GE;;R0;
20970                            X;;20970;JASON;PANTALON;COFIVET;24E;33;100;-;PFL;0GE;;R0;
20971                            X;;20971;JASPER;PANTALON;COFIVET;24E;32;100;-;PFL;0GE;;R0;
20972                            X;;20972;JASSEM;PANTALON;COFIVET;24E;32;100;-;PFL;0GE;;R0;
20973                            X;;20973;JAUFFRY;ROBE;COFIVET;24E;55;150;-;PFL;0GE;;R0;
20974                            X;;20974;JESS;PANTALON;COFIVET;24E;33;100;-;PFL;0GE;;R0;
20975                            X;;20975;JAMELA;MAILLOT;MAILLE CLUB;24E;42;130;-;PFL;0GE;;R0;
20976                            X;;20976;JAMIE;MAILLOT;MAILLE CLUB;24E;42;130;-;PFL;0GE;;R0;
20977                            X;;20977;JAMIL;MAILLOT;MAILLE CLUB;24E;42;120;-;PFL;0GE;;R0;
20978                            X;;20978;JAMY;MAILLOT;MAILLE CLUB;24E;42;120;-;PFL;0GE;;R0;
20979                            X;;20979;JADE;DEBARDEUR;MAILLE CLUB;24E;10;26;-;PFL;0GE;;R0;
20980                            X;;20980;JADEN;DEBARDEUR;MAILLE CLUB;24E;10;30;-;PFL;0GE;;R0;
20981                            X;;20981;JADWIGA;SLIP;GRP GRATTI TEXTILE;24E;6;20;-;PFL;0GE;;R0;
20982                            X;;20982;JAELLE;SLIP;GRP GRATTI TEXTILE;24E;9;28;-;PFL;0GE;;R0;
20983                            X;;20983;JAHDEN;SLIP;GRP GRATTI TEXTILE;24E;7;22;-;PFL;0GE;;R0;
20984                            X;;20984;JAHEL;BRASSIERE;MAILLE CLUB;24E;11;30;-;PFL;0GE;;R0;
20985                            X;;20985;JAHIDA;BRASSIERE;MAILLE CLUB;24E;11;30;-;PFL;0GE;;R0;
20986                            X;;20986;JAHINA;BRASSIERE;MAILLE CLUB;24E;11;30;-;PFL;0GE;;R0;
20987                            X;;20987;JAHLYA;SLIP;GRP GRATTI TEXTILE;24E;7;22;-;PFL;0GE;;R0;
20988                            X;;20988;20988;TEE SHIRT;STE TEX-MODE;24E;14;40;-;PFL;0GE;;R0;
20990                            X;;20990;JEF;ROBE;STE TEX-MODE;24E;56;160;-;PFL;0GE;;R0;
20991                            X;;20991;JASSIM;ROBE;AICHA FASHION;24E;33;100;-;PFL;0GE;;R0;
20992                            X;;20992;JEANNE;ROBE;TIN TRADE;24E;52;150;-;PFL;0GE;;R0;
20994                            X;;20994;JAVIER;ROBE;STE TEX-MODE;24E;56;160;-;PFL;0GE;;R0;
20995                            X;;20995;JEANNELL;ROBE;ROSELLA;24E;56;160;-;PFL;0GE;;R0;
20996                            X;;20996;JEANNETTE;ROBE;ROSELLA;24E;56;160;-;PFL;0GE;;R0;
20997                            X;;20997;JEANINNE;CHEMISE;ROSELLA;24E;32;90;-;PFL;0GE;;R0;
20998                            X;;20998;JEANICK;BLOUSE;ROSELLA;24E;33;100;-;PFL;0GE;;R0;
20999                            X;;20999;JEANNINA;CHEMISE;ROSELLA;24E;35;100;-;PFL;0GE;;R0;
21000                            X;;21000;JEANNOT;BLOUSE;ROSELLA;24E;20;60;-;PFL;0GE;;R0;
21001                            X;;21001;JEANNY;BLOUSE;ROSELLA;24E;20;60;-;PFL;0GE;;R0;
21002                            X;;21002;JIBRIL;BLOUSE;ROSELLA;24E;20;60;-;PFL;0GE;;R0;
21003                            X;;21003;JESSIE;VESTE;ROSELLA;24E;65;180;-;PFL;0GE;;R0;
21004                            X;;21004;JESSIKA;PANTALON;ROSELLA;24E;35;100;-;PFL;0GE;;R0;
21005                            X;;21005;JESSIM;PANTALON;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
21006                            X;;21006;JESSYCA;PANTALON;ROSELLA;24E;35;100;-;PFL;0GE;;R0;
21007                            X;;21007;JESSYM;BLOUSE;ROSELLA;24E;32;90;-;PFL;0GE;;R0;
21008                            X;;21008;JEANOT;PYJAMA;AICHA FASHION;24E;28;80;-;PFL;0GE;;R0;
21009                            X;;21009;JEANNIE;PYJAMA;AICHA FASHION;24E;28;80;-;PFL;0GE;;R0;
